WID,ISLAND,YR_DRILLED,INIT_HEAD,INIT_HEAD2,INIT_HEAD3,Temp_F,Temp_C,GROUND_EL,WELL_DEPTH
2-5923-009,Kauai,1998,212,,,77.18,25.1,272,751
6-5840-002,Maui,1998,2.17,,,69.98,21.1,32,60
3-2508-014,Oahu,1998,9,,,78.8,26,87,100
3-1852-010,Oahu,1998,0.1,,,,,10,63
2-1325-002,Kauai,1998,,,,,,97,189
8-4110-001,Hawaii,1998,950.6,,,,,1910,1400
4-0350-001,Molokai,1998,,,,73.94,23.3,3,220
3-2301-044,Oahu,1998,19.21,,,71.24,21.8,134,273
3-2301-046,Oahu,1998,18.07,,,71.24,21.8,135,271
2-5945-001,Kauai,1998,,,,73.04,22.8,,550
3-2301-045,Oahu,1998,18.19,,,71.24,21.8,136,276
6-5317-001,Maui,1998,7,,,68.9,20.5,1236,1361
2-1120-027,Kauai,1998,91.48,,,,,311,402
6-5328-052,Maui,1998,0.89,,,75.02,23.9,9,75
6-5938-004,Maui,1998,4.76,,,66.02,18.9,788,859
2-0023-002,Kauai,1998,254.05,,,,,346,810
6-5616-003,Maui,1998,6.26,,,,,248,301
2-1325-003,Kauai,1998,5.01,,,69.98,21.1,133,295
8-6528-002,Hawaii,1998,3.46,,,69.62,20.9,450,486
3-2458-005,Oahu,1998,13.7,,,67.46,19.7,137,277
3-3855-013,Oahu,1998,,,,68.9,20.5,17,220
2-0124-002,Kauai,1998,385.2,,,,,467,560
2-5425-015,Kauai,1998,25.86,,,,,130,377
2-1221-001,Kauai,1998,242,,,71.42,21.9,284,155
3-2509-007,Oahu,1998,,,,76,24.44444444,15,20
2-5824-009,Kauai,1997,66.2,,,73.04,22.8,486,925
8-3787-001,Hawaii,1997,6.4,,,68,20,76,85
8-3787-002,Hawaii,1997,7,,,69.98,21.1,78,85
3-3453-016,Oahu,1997,6.32,,,69.98,21.1,86,243
6-5413-007,Maui,1997,,,,69.98,21.1,361,405
6-4830-001,Maui,1997,4.37,,,73.94,23.3,52,84
3-3453-013,Oahu,1997,13.03,,,68,20,50,219
3-2052-014,Oahu,1997,22.3,,,70.88,21.6,196,346
2-5824-008,Kauai,1997,64.92,,,73.22,22.9,486,970
3-2051-002,Oahu,1997,22.49,,,,,720,870
8-5553-003,Hawaii,1997,,,,77.72,25.4,24,170
3-3755-009,Oahu,1997,17.4,,,71.78,22.1,14,190
8-3188-002,Hawaii,1997,16.77,,,68,20,604,650
2-1221-003,Kauai,1997,191.4,,,73.4,23,270,220
6-5414-001,Maui,1997,,,,69.08,20.6,548,590
6-5413-008,Maui,1997,376.11,,,69.08,20.6,408,50
6-5413-009,Maui,1997,,,,68,20,382,415
6-4727-008,Maui,1997,3.31,,,77.54,25.3,17,40
6-5426-001,Maui,1997,,,,69.98,21.1,,46
8-3010-001,Hawaii,1997,1491,,,62.96,17.2,2654,1537
3-2002-015,Oahu,1997,1.8,,,75.92,24.4,40,55
6-5517-001,Maui,1997,2.8,,,71.96,22.2,531,570
6-5228-020,Maui,1997,2.96,,,73.04,22.8,91,139
2-5639-001,Kauai,1997,2,,,,,11,13
6-5230-001,Maui,1997,4.09,,,73.04,22.8,249,300
6-5413-010,Maui,1997,,,,69.98,21.1,380,415
6-5329-021,Maui,1997,2.5,,,71.96,22.2,52,85
6-5329-019,Maui,1997,2.5,,,75.02,23.9,76,110
2-5844-006,Kauai,1997,,,,74.12,23.4,11,200
6-5329-020,Maui,1997,1.9,,,75.02,23.9,71,110
3-3957-008,Oahu,1997,16.44,,,68.18,20.1,108,300
2-5844-002,Kauai,1997,2.19,,,75.92,24.4,13,56
2-5626-001,Kauai,1996,169.8,,,73.94,23.3,484,805
3-3452-002,Oahu,1996,7.33,,,70.7,21.5,46,150
2-0126-001,Kauai,1996,590.3,,,80.6,27,678,1004
3-1942-001,Oahu,1996,23.16,,,76.82,24.9,275,575
3-2408-010,Oahu,1996,,,,,,75,100
3-2447-005,Oahu,1996,8.37,,,76.64,24.8,11,50
3-2447-006,Oahu,1996,5.33,,,77.36,25.2,22,60
2-0023-001,Kauai,1996,147.4,,,79.88,26.6,319,1147
2-1222-002,Kauai,1996,,,,,,299,165
2-5825-004,Kauai,1996,141,,,68,20,465,600
3-3554-006,Oahu,1996,16.82,,,69.98,21.1,92,343
3-2658-005,Oahu,1996,20.5,,,70.34,21.3,771,901
6-4829-004,Maui,1996,5.33,,,78.08,25.6,15,130
8-4959-008,Hawaii,1996,,,,75.02,23.9,13,26
8-6450-005,Hawaii,1996,2.81,,,82.76,28.2,370,383
2-0739-003,Kauai,1996,3534.6,,,61.34,16.3,3543,152
8-4959-006,Hawaii,1996,1,,,77,25,4,11
3-2001-010,Oahu,1996,1.6,,,78.44,25.8,34,52
8-6450-004,Hawaii,1996,2,,,68,20,653,670
8-4959-005,Hawaii,1996,0.3,,,77,25,3,8
8-4959-007,Hawaii,1996,1.1,,,77,25,3,9
3-2402-005,Oahu,1996,19.7,,,71.78,22.1,420,559
6-5413-005,Maui,1996,,,,71.06,21.7,,455
3-2902-002,Oahu,1996,272.34,,,72.68,22.6,868,861
3-2401-007,Oahu,1996,21.13,,,73.04,22.8,463,570
6-5615-003,Maui,1996,4,,,71.96,22.2,334,370
6-5615-005,Maui,1996,8,,,64.04,17.8,324,375
6-5515-003,Maui,1996,7,,,64.04,17.8,377,416
6-5616-002,Maui,1996,5.5,,,64.04,17.8,315,355
8-6049-006,Hawaii,1996,2.32,,,78.08,25.6,92,111
6-3904-006,Maui,1996,13,,,68,20,,300
